NACA 23014                                      
 Alfa = -24.50000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00147 -0.14062
   0.99344  0.00269 -0.04282
   0.98225  0.00474 -0.02856
   0.96940  0.00706 -0.00057
   0.95501  0.00963  0.02256
   0.93935  0.01238  0.04551
   0.92280  0.01524  0.06687
   0.90566  0.01815  0.08650
   0.88818  0.02107  0.10572
   0.87048  0.02397  0.12399
   0.85267  0.02683  0.14138
   0.83478  0.02966  0.15751
   0.81686  0.03245  0.17401
   0.79890  0.03519  0.18957
   0.78093  0.03788  0.20446
   0.76295  0.04052  0.21999
   0.74497  0.04311  0.23421
   0.72698  0.04565  0.24939
   0.70899  0.04815  0.26336
   0.69100  0.05058  0.27829
   0.67302  0.05297  0.29247
   0.65505  0.05530  0.30694
   0.63709  0.05757  0.32171
   0.61914  0.05978  0.33627
   0.60121  0.06193  0.35112
   0.58329  0.06402  0.36616
   0.56540  0.06603  0.38164
   0.54753  0.06798  0.39703
   0.52969  0.06985  0.41326
   0.51188  0.07165  0.42920
   0.49411  0.07337  0.44639
   0.47637  0.07499  0.46346
   0.45867  0.07653  0.48131
   0.44102  0.07798  0.49964
   0.42343  0.07932  0.51872
   0.40588  0.08056  0.53853
   0.38840  0.08169  0.55898
   0.37099  0.08270  0.58026
   0.35365  0.08358  0.60254
   0.33640  0.08434  0.62543
   0.31924  0.08496  0.64965
   0.30219  0.08543  0.67457
   0.28526  0.08575  0.70055
   0.26848  0.08590  0.72758
   0.25187  0.08589  0.75554
   0.23548  0.08570  0.78424
   0.21938  0.08532  0.81345
   0.20365  0.08476  0.84286
   0.18842  0.08401  0.87178
   0.17378  0.08304  0.90025
   0.15978  0.08181  0.92789
   0.14641  0.08031  0.95353
   0.13370  0.07852  0.97538
   0.12162  0.07644  0.99161
   0.11019  0.07410  0.99960
   0.09942  0.07149  0.99660
   0.08933  0.06867  0.97954
   0.07993  0.06566  0.94518
   0.07123  0.06250  0.89038
   0.06323  0.05925  0.81199
   0.05592  0.05595  0.70699
   0.04928  0.05265  0.57288
   0.04328  0.04937  0.40617
   0.03788  0.04615  0.20496
   0.03302  0.04300 -0.03523
   0.02866  0.03994 -0.31748
   0.02475  0.03697 -0.64749
   0.02125  0.03409 -1.02798
   0.01811  0.03130 -1.46977
   0.01530  0.02860 -1.97852
   0.01279  0.02598 -2.56468
   0.01055  0.02344 -3.23810
   0.00856  0.02096 -4.01351
   0.00681  0.01854 -4.90022
   0.00527  0.01618 -5.92731
   0.00394  0.01387 -7.08392
   0.00281  0.01160 -8.40371
   0.00187  0.00938 -9.87851
   0.00112  0.00720-11.51043
   0.00057  0.00507-13.24874
   0.00020  0.00298-15.07242
   0.00002  0.00095-16.90797
   0.00002 -0.00103-18.71784
   0.00023 -0.00303-20.51154
   0.00065 -0.00505-22.02548
   0.00133 -0.00706-22.94765
   0.00228 -0.00903-23.15060
   0.00350 -0.01093-22.56035
   0.00499 -0.01275-21.51392
   0.00673 -0.01447-20.10482
   0.00873 -0.01609-17.78434
   0.01098 -0.01762-16.09721
   0.01347 -0.01907-14.47699
   0.01622 -0.02044-12.95894
   0.01925 -0.02175-11.57836
   0.02259 -0.02302-10.34612
   0.02627 -0.02425 -9.24584
   0.03035 -0.02546 -8.26404
   0.03490 -0.02666 -7.39087
   0.04001 -0.02787 -6.60943
   0.04578 -0.02910 -5.90683
   0.05237 -0.03037 -5.27831
   0.05994 -0.03170 -4.71201
   0.06870 -0.03312 -4.20682
   0.07883 -0.03465 -3.75670
   0.09047 -0.03631 -3.36406
   0.10366 -0.03811 -3.02671
   0.11821 -0.04002 -2.74544
   0.13378 -0.04200 -2.51486
   0.14998 -0.04397 -2.32680
   0.16645 -0.04587 -2.17210
   0.18298 -0.04764 -2.03925
   0.19946 -0.04922 -1.91766
   0.21591 -0.05059 -1.79456
   0.23243 -0.05174 -1.67216
   0.24904 -0.05270 -1.55429
   0.26576 -0.05348 -1.44063
   0.28260 -0.05410 -1.33104
   0.29956 -0.05455 -1.22566
   0.31663 -0.05486 -1.12339
   0.33380 -0.05502 -1.02385
   0.35106 -0.05504 -0.92726
   0.36841 -0.05494 -0.83286
   0.38583 -0.05472 -0.74115
   0.40333 -0.05438 -0.65293
   0.42090 -0.05393 -0.56967
   0.43852 -0.05338 -0.49373
   0.45620 -0.05272 -0.42786
   0.47394 -0.05198 -0.37509
   0.49171 -0.05114 -0.33798
   0.50953 -0.05022 -0.32843
   0.52739 -0.04922 -0.33462
   0.54529 -0.04814 -0.32945
   0.56321 -0.04698 -0.32170
   0.58116 -0.04576 -0.31312
   0.59914 -0.04447 -0.30428
   0.61714 -0.04311 -0.29536
   0.63516 -0.04169 -0.28646
   0.65320 -0.04022 -0.27764
   0.67124 -0.03868 -0.26894
   0.68930 -0.03709 -0.26039
   0.70737 -0.03544 -0.25201
   0.72544 -0.03374 -0.24380
   0.74352 -0.03199 -0.23578
   0.76159 -0.03019 -0.22795
   0.77966 -0.02833 -0.22030
   0.79772 -0.02643 -0.21284
   0.81577 -0.02448 -0.20556
   0.83379 -0.02248 -0.19847
   0.85177 -0.02043 -0.19157
   0.86969 -0.01834 -0.18486
   0.88748 -0.01621 -0.17836
   0.90507 -0.01405 -0.17209
   0.92231 -0.01189 -0.16609
   0.93896 -0.00975 -0.16042
   0.95471 -0.00768 -0.15517
   0.96919 -0.00574 -0.15044
   0.98213 -0.00397 -0.14628
   0.99339 -0.00240 -0.14270
   1.00000 -0.00147 -0.14062
