x z
1.0000000319999998 0.0
0.9777860312162444 0.002796999943688889
0.95048503041552 0.00672000021504
0.9131190292927156 0.013701000365524445
0.8665260276559243 0.024587000640968887
0.81174502597584 0.03814500122064
0.7500000240000001 0.05076600155160444
0.6826710217725644 0.06156200182416889
0.6112610194874445 0.07168600222104445
0.5373650171956801 0.08147700246144889
0.46263501480432 0.09003100280808445
0.38874001243968 0.09470100295752445
0.31733001015456 0.09324300312959112
0.25000000799999994 0.08731100272104445
0.18825500602415998 0.0798820024104089
0.13347400434407555 0.06975100215912446
0.08688100270728445 0.05842900194263556
0.04951600151160444 0.044768001578391114
0.022214000783755555 0.030339001043755556
0.005585000178719999 0.015258000634071112
0.0 0.0
0.005585000178719999 -0.013319000499115555
0.022214000783755555 -0.02640600077208444
0.04951600151160444 -0.036992001037928886
0.08688100270728445 -0.046725001495199994
0.13347400434407555 -0.05474000175168
0.18825500602415998 -0.061409002037995555
0.25000000799999994 -0.06720100207752445
0.31733001015456 -0.0700780023883111
0.38874001243968 -0.07044900232727555
0.46263501480432 -0.0673520020094489
0.5373650171956801 -0.05945400197543556
0.6112610194874445 -0.04793900160695556
0.6826710217725644 -0.036264001233355554
0.7500000240000001 -0.026548000995351113
0.81174502597584 -0.018118000725591114
0.8665260276559243 -0.01059300048479111
0.9131190292927156 -0.005384000245195556
0.95048503041552 -0.0025090001531955556
0.9777860312162444 -0.0010200000326400002
1.0000000319999998 0.0
